odor,train,valid
acidic,28,6
alcoholic,66,16
aldehydic,93,23
alliaceous,81,20
almond,56,13
amber,63,16
animal,71,17
anisic,56,14
apple,195,49
apricot,46,11
aromatic,47,11
balsamic,191,47
banana,74,17
beefy,26,6
bergamot,20,5
berry,98,24
bitter,40,10
black currant,28,7
brandy,27,7
bready,23,6
brown,38,9
burnt,119,30
buttery,88,21
cabbage,28,8
camphoreous,82,20
caramellic,148,37
cedar,31,8
celery,28,6
chamomile,17,4
cheesy,118,29
chemical,25,6
cherry,53,13
chocolate,44,10
cinnamon,41,11
citrus,242,61
clean,62,15
clove,20,5
cocoa,73,18
coconut,54,14
coffee,67,16
cognac,71,18
cooked,55,13
cooling,49,12
cortex,36,9
coumarinic,35,9
creamy,123,31
cucumber,29,8
dairy,80,20
dry,108,25
earthy,201,54
estery,33,8
ethereal,184,46
fatty,383,92
fermented,92,23
fishy,50,12
floral,703,173
fresh,341,83
fruit skin,35,8
fruity,1217,301
fungal,13,3
fusel,18,4
garlic,76,20
gassy,22,5
geranium,38,9
grape,53,13
grapefruit,50,12
grassy,42,11
green,932,217
hawthorn,22,6
hay,47,12
hazelnut,33,9
herbal,484,120
honey,100,25
hyacinth,36,8
jammy,24,6
jasmin,64,16
juicy,35,8
ketonic,27,7
lactonic,42,10
lavender,27,7
leafy,84,21
leathery,31,7
lemon,52,13
licorice,22,6
lily,44,10
malty,23,6
marine,19,4
meaty,192,47
medicinal,46,11
melon,86,21
mentholic,14,4
metallic,85,21
milky,52,12
mint,143,35
mossy,12,3
muguet,37,9
mushroom,57,15
musk,62,15
musty,126,31
natural,55,13
nutty,232,57
odorless,44,11
oily,247,64
onion,112,28
orange,63,15
orangeflower,21,5
orris,37,9
ozone,24,6
peach,67,16
pear,83,20
phenolic,114,28
pine,50,12
pineapple,128,32
plum,37,9
popcorn,23,5
potato,35,9
powdery,105,26
pungent,127,31
radish,36,9
raspberry,30,7
ripe,53,14
roasted,193,44
rose,213,53
rummy,52,13
sandalwood,23,6
savory,82,20
sharp,64,16
smoky,45,11
soapy,28,7
solvent,35,9
sour,45,11
spicy,297,73
strawberry,28,7
sulfurous,253,66
sweaty,24,6
sweet,913,225
tea,32,9
terpenic,30,7
thujonic,10,3
tobacco,64,16
tomato,23,6
tonka,16,4
tropical,245,61
vanilla,70,17
vegetable,177,47
vetiver,26,6
violet,44,12
warm,62,13
waxy,311,77
weedy,27,7
winey,140,35
woody,432,105
